课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
刑法总论,专业课程,,李颖峰,老师讲的非常好，给分也很好,一次小论文,闭卷考试,98,,
大学文明的历程,通识选修课（公选课）,中华文化与世界文明,陈新忠,介绍全世界各国的大学发展历程,偶尔会点名，3次左右，平时没有作业,考试，内容为上课ppt，比较简单,Unknown,,
西方音乐史与名作赏析,通识选修课（公选课）,艺术体验与审美欣赏,陈雯,讲些基本的乐理知识和西方音乐历史、流派、作品风格赏析，上课经常听音乐（课后也要自己听来复习）,基本每节课都有签到或者课堂小作业,开卷考，听歌识曲+小论文,91,,
功能高分子,专业课程,,蒋序林,PPT很水，会点名，只有一个期末论文（但是不少于8000字）,不定期点名,8000字论文,Unknown,,
创意趣味手绘,通识选修课（公选课）,艺术体验与审美欣赏,杨青,主要是绘画教学。不会画也没关系，可以用复写纸描轮廓再上色,随机考勤，学习通签到，结课作业是画画作品展示,结课作业,Unknown,,
遥感图像解译,专业课程,,周军其,很好,雨课堂，课堂练习和作业,闭卷,Unknown,,
体育网球1,体育课,,柳景华,教网球的正手反手击球,考勤，出勤率准时到课＋800/1000＋俯卧撑/引体向上/仰卧起坐＋乐跑＋期末,10个球，一个球在界内3分，这项30分，还有20分计评,90,,
信号与系统,专业课程,,张俊,上课讲的不好,作业特别多,闭卷考试,Unknown,,
国际关系视角下的国际法,通识选修课（公选课）,社会科学与现代科学,周晓明,老师讲的挺好 不听也不影响期末，给分也很好,有签过一次到，好像也有一次小组讨论，不过不麻烦,自己投票好像是，我们当时是开卷考，简单抄抄就过去了分也很高,93,,
普通物理一,公共课,,杜一剑,那反正就是非常厉害。,没考勤有作业，有可能有期中考试。,全校统一的考试。,Unknown,,
人文社科导引,通识必修课（导引）,,曹龙虎,平均一次大班课一次小班课 大班课很水  老师讲很多经典著作  随机提问（可加分） 小班课基本上有pre 演讲 辩论 各种形式,每次都有签到 拍照签到 小班课就是pre 辩论等形式,最后一次小班课当堂作文,Unknown,,
排舞,体育课,,黄静,学一些由排舞基本舞步编成的舞蹈，上课一般会先花1/3的时间热身、准备，总体来说很轻松。,每节课都会点名，迟到也会在旁边备注。没有平时作业。,从学过的舞蹈里选其中两支（学的时候就会告知），一支是个人考核，另一支老师会组队团体考核，需要自己变换队形。,Unknown,,
中国精神导引,通识必修课（导引）,,李海燕,每次都是大班课 老师很温柔 每节课都会邀请同学上台分享时事新闻 还爱唱歌 很水 位置签到 助教很认真负责有意思 ,位置签到 一次小组作业 ppt展示,当堂1500作文 开卷 可带书和打印资料,Unknown,,
大学生职业规划,通识选修课（公选课）,社会科学与现代科学,王黄磊,每次课是有不同的老师来上 很接近团辅,不点名 无平时作业 ,一份职业生涯规划 给分好,94,,
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,申胜男,非常好！,老师说会点名但是没点过，平时作业很简单打几百个字就行,开卷考，有题纲，打印了带过去就好,Unknown,,
高等数学,公共课,,康肖松,很好,不考勤，有作业,闭卷考试,88,,
羽毛球,体育课,,李凯,上课讲一些关于人体的知识，有助于更好地理解羽毛球技术动作,不到课会扣分，每节课都有考勤,平时上课有很多机会加分，只要认真上课满级很轻松,99,,
概率论与数理统计,公共课,,邓昌松,好,无,期末考试,Unknown,,
数据结构A,专业课程,,刘峰,讲的挺好的，就是有些麻烦,比较多,机考,92,,
复变函数,专业课程,,霍学深,复变函数和积分变换，难度中等,不考勤，作业少,期末考试,78,,
自然地理,专业课程,,唐雪华,平时没有作业，24年没有挂科。90+有15+人,无,闭卷考试,90,,
马原,公共课,,龚玉敏,很水，给分好,有一次小组展示,统一考试,90,,
军事理论与技术,公共课,,何华,很好,无,闭卷考试,Unknown,,
复变函数,专业课程,,霍学深,内容就是复变函数所有内容评价：上课很水不点名不签到，老师讲的有点水，然后有平时作业，期末闭卷考试，但是难度不大直接背题就行,无点名，作业少难度不大,闭卷,100,,
明清诗文专题,专业课程,,陈水云,内容主要就是讲明清时期的诗文大家和作品，老师讲课声音不大速度较慢。,一到两次考勤，助教会在群里提前通知。平时作业是写一份500字的诗词鉴赏+小组作业做一个ppt，选题发在群里。,开卷考试,Unknown,,
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,牟沫英,不是很有意思,无考勤，无作业,论文,90,,
概率论,公共课,,冯艳钦,老师讲的挺细的，挺好的,无签到，正常作业,试卷,Unknown,,
微观经济学,专业课程,,叶初升,跑，现在就是很后悔,两次作业，一次论文一次题目,考试,Unknown,,
建筑遗产批判性保护与再生,通识选修课（公选课）,艺术体验与审美欣赏,郑静,英文授课，会有好几个不同的老师来上课,一次展示，每次课后写两三百字的体会感悟,写1000字的论文，回答三个问题,93,,
太极文化与健康,通识选修课（公选课）,中华文化与世界文明,蔺志华,老师特别好，上课不能玩手机，但是上课很有意思,偶尔考勤，一共30人，建议不要翘课,不限字数感想（如果平常表现好不用写）,99,,
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美欣赏,王晔,上课就是看一些广告设计,有点名，没有作业,设计广告作品,Unknown,,
羽毛球1,体育课,,宁颂东,练习发高远球，击打高远球,不点名,发高远球，击打高远球,Unknown,,
测绘学概论,专业课程,,教授,不签到，论文结课，,不考勤,论文,93,,
财政学,专业课程,,刘穷志,讲的挺好,无作业，一次考勤,闭卷考试,Unknown,,
科技与考古,通识选修课（公选课）,中华文化与世界文明,潘老师,科技与考古,有考勤，平时没作业,一篇论文,90,,
高等数学A1,公共课,,湛少锋,无脑，就是好,无考勤，虽然他说有，作业少，高数A里面应该是最少的了,闭卷考,96,,
创新思维与方法,通识选修课（公选课）,社会科学与现代科学,杜莉,一般，给分迷惑，做了展示，上课答问题好几次，最后……,需要小组展示,开卷，自己私下做卷纸,89,,
高等数学A,公共课,,周进,老师讲的特别仔细特别好,偶尔点到，每次都有作业并且要交,期末考试,Unknown,,
大学物理B,专业课程,,王平,推荐，老师人很好，也很负责,平时作业适量，几乎每节课都有签到,考试,Unknown,,
微观经济学,专业课程,,王今朝,还行,无,统一考试,Unknown,,
大学物理B,公共课,,侯悦,讲ppt,作业不多不少,一起闭卷考,89,,
马原,公共课,,杨军,老师讲课很有意思，但是给分的话应该算一般，在小组里多做些事可能会高些,一次小组作业,统一闭卷考试,87,,
现代设计概论,专业课程,,刘艺琴,挺好的,一次pre,论文,91,,
线性代数,公共课,,周明春,上课要求比较严格，和高中差不多，桌子上不能放电子产品，但是课的内容讲的很仔细，清晰易懂，重点突出,好像是每节课都点名签到，有平时作业,闭卷考,96,,
大物,公共课,,郝中华,好,不多,考试,Unknown,,
素质体育2,体育课,,赵继斌,篮球和排球基础。老师很好，给分高。,有点名。,很简单的一个考试,90,,
计算机系统基础,专业课程,,龚奕利,老师人特别好，特别负责，人也很有趣！讲的非常好，用的是国外的原版ppt改编的。,偶尔手机签到，偶尔有统一的线上小测，但是应该不计入总评，只是老师为了知道大家学习水平搞得.作业就是csapp的课后题,闭卷笔试,84,,
会计学原理,专业课程,,李青原,讲的感觉不是很清楚，这老师好像觉得我们啥都懂。。可能是我的问题。据说卡绩,有课后作业，学期末点了次名,闭卷,88,,
信息安全数学基础,专业课程,,王后珍,讲课重点明确,两次作业，无考勤,期末考,Unknown,,
操作系统原理,专业课程,,孔若杉,讲课风格幽默，作业和课件质量高,无考勤，有实操作业但难度中等，主要为选择题,闭卷考试,Unknown,,
大学物理,公共课,,曹立民,喜欢放mit的片,正常，有签到,考试,90,,
素质体育2,体育课,,张红,内容很充实，老师教的很用心,每节课考勤，无平时作业,篮球一分钟来回跑并投篮（不要求投篮一定投进）排球自垫或对传20个,Unknown,,
联用技术与元素形态,通识选修课（公选课）,科学精神与生命关怀,何蔓,老师很好，很轻松，适合小学期,不考勤，平时作业需要做一个ppt,写论文,92,,
信息安全数学基础,专业课程,,王后珍,一些数论内容，包括模运算，欧拉函数，中国剩余定理，同余方程组，椭圆曲线，是密码学的前置课程；难学，课本看不懂,只有最后一次课点了名；半学期交一次作业，好多不会做也查不到答案,闭卷考试，相对简单,Unknown,,
电影导演大师创意解读,通识选修课（公选课）,艺术体验与审美欣赏,彭万荣,讲电影导演大师的创作之类的,平时作业是三个题目，每题500字左右，无考勤,当堂写一篇小作文,Unknown,,
免疫学,专业课程,,辜美嘉，还有一个忘了,课程内容较简单，有一定生物基础,基本不考勤，2次左右平时作业，老师出一个题目，写完后上交，可以课后写（都是课上学的）,闭卷考试，但考核内容不算太难,Unknown,,
羽毛球,体育课,,李凯,神，随便满绩,可能要点名,正常考核,99,,
羽毛球,体育课,,姚志坚,老师较好,考勤严格，每次有点名,击打球各25分，10次过7次就可以拿满分,Unknown,,
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,会讲解一些关于宇宙的知识，还有他自己的一些故事,都无,开卷考试,90,,
概率论与数理统计,公共课,,陈玉蓉,讲概率论和数理统计,有时候上课之前会随机点名让人上去默写公式，期末前几周次次点名,闭卷考试,Unknown,,
现代住区与城市社会,通识选修课（公选课）,社会科学与现代科学,杨丽,老师人很好，课程内容丰富,有考勤，期末出一张大海报，没有软件绘图功底的同学慎选,海报及pre,Unknown,,
马克思主义基本原理,公共课,,谭兴林,老师很美 上课点人回答问题（作为签到用） 给分很不错,考勤点名回答问题,闭卷考试,93,,
军事理论,公共课,,何华,老师很好，被他点到的人目光都是炯炯有神的,无签到，有期中小论文,闭卷考试,94,,
离散数学,专业课程,,喻丹丹,课程坏，老师好，神，无脑冲,每节课都要作业，刷脸签到加学习签到,闭卷考试,1,,
机器学习,专业课程,,曾圆圆,机器学习入门知识，有一点编程知识就可以上，python可以现学，考试公式化，复习较为方便，可以当跨专选,平时作业即上机作业,考试,Unknown,,
程序设计D,专业课程,,傅佑铭,评价：给分相当低，讲课声音很小，下课qq找不到人,作业我们这一届是没有的，考勤只有计院专业课的打卡签到。,闭卷考试,79,,
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,申胜男,很水很好,无打卡无签到无提问,开卷,93,,
微机原理及接口,专业课程,,胡杰,老师挺严肃的，给分不清楚,每节课都签到，两节课一次quiz,正常期末考试,Unknown,,
素质体育2,体育课,,张力,练习排球与篮球,偶尔考勤，无平时作业,体测，可以自己报成绩（xixi),Unknown,,
钢琴基础,专业课程,,陈简,需要自选一首钢琴乐曲作为作品。在学期内进行练习。老师上课讲述乐理知识和对学生演奏作品提出指导。学期最后一节课当堂演奏作品作为期末考试。老师气质优雅。性格温柔，给分超好，选到就是赚到,平时需要自己练琴，无硬性要求,学期最后一节课当堂演奏作品作为期末考试,92,,
数据结构,专业课程,,沈志东,老师很好,都有,闭卷,Unknown,,
医学专业英语,专业课程,,张军,老师是护理学院的 上课就是讲一些专英单词 讲课一般般但给分还不错,好像一篇论文20%期末50%左右 还有考勤啥的,两两一组口语考试结课,Unknown,,
大学物理,公共课,,赵东山,老师讲课很一般，给分儿一般。,40,闭卷,92,,
电影艺术与大众文化,通识选修课（公选课）,艺术体验与审美欣赏,王杰红,挺有意思的，但比较水,无考勤,交论文或者读书笔记,Unknown,,
线代,专业课程,,周明春,口音重，讲的挺好,一般多，有考勤,考试,99,,
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,老师讲的很好 期末狠狠捞！,两三次考勤签到，无平时作业,闭卷考试,87,,
大学文明的历程,通识选修课（公选课）,中华文化与世界文明,陈新忠,课程质量高，考核内容都在PPT里，但PPT不会公开，建议上课时把每张PPT都拍一遍,现场点名，无作业,论文或开卷考（可以带电子设备）,92,,
乒乓,体育课,,李宜珊,平时主要是自主练习正手反手和发球,偶尔会点名，平时没有作业,期末考核是正手三十个，反手三十个，相对轻松,Unknown,,
莎士比亚戏剧导论,通识选修课（公选课）,中华文化与世界文明,戴丹妮,讲解莎剧，有点意思,考勤会提前通知，没有平时作业,一次开卷随堂测，一篇论文,Unknown,,
高级交际英语,公共课,,黄雨,上课较为轻松，老师有趣和善，经常会点人回答问题，但是难度不大，有的时候也可能三四十分钟什么也不讲，老师学生一起划水,作业都很简单，也只有部分要真的上传，多数可以直接交给ai三分钟搞定。每节课都要课前扫码进雨课堂,口语pre（13～15分钟）＋统一笔试,Unknown,,
面向对象的程序设计,专业课程,,耿学贤,老师上课很有意思，经常给我们讲一些有趣的故事,平时作业少，有时会考勤,笔试结课，有实验分,90,,
离散数学,公共课,,何德彪,好,作业少查得不勤,闭卷,94,,
大学物理实验,公共课,,艾志伟,做实验，艾神不必多说,签到，做报告,实验操作考试+线上理论考试，理论考比较难（全校统一题库）,92,,
英语创意写作,专业课程,,孙杰娜,跨专听得懂，讲一些英语写作技巧,每节课纸质签名考勤，上课偶尔写个句子,500字期中英语文章+2000字期末英语文章,Unknown,,
高等数学A2,公共课,,李大美,大美yyds，老师人很好,基本没有签到，有平时作业,闭卷考试,Unknown,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,讲解衣食住行相关的寄生虫及引发的病症，个人认为有点枯燥,印象中没考勤。平时作业：两次在学习通上做20道选择题，几张问卷填写，最后有一个观察标本的实践，在医学部，不去老师也不会说什么。总的来说，事少要求少。非常可以,论文结课，2000字左右，和寄生虫有关的不限。可以写观后感，游记等,92,,
工业互联网基础,专业课程,,胡杰，曹力科,老师讲课很认真，第二个实验有点难，但是老师说重在参与。,平时会有学习通签到和quiz，临近结课会布置三次学习通上的作业（论述题）,闭卷考试，但是选择题基本来自平时quiz，论述题也有一题就是作业题,97,,
明清诗文专题,专业课程,,陈水云,讲明清诗文  上课纪律宽松  老师亲切,几乎不点 要点会提醒  一篇诗文鉴赏 一个小组PPT,开卷考试 随堂,Unknown,,
离散数学,专业课程,,刘峰,特软的离散数学 老师一个人出卷 缺点是刘峰有平时小组讨论 优点是他自己出卷子并且间接透题 期末很简单,作业+每周小组讨论 随机点名 没点到=没到不接受请假,闭卷考试,96,,
大学物理,公共课,,郭立平,讲课认真负责，从不管下面的同学，少了很多人也不管,偶尔签到，一学期三四次，每周按教学日历留作业,考试,Unknown,,
法律英语,专业课程,,关继慧,读英语原文 基础的法律知识,每节课按名单提问，无平时作业,闭卷，有考试范围,Unknown,,
日本概况,专业课程,,ENATSU RUKA,主要是介绍日本文化，好课啊，老师温柔又漂亮,一次pre，每节课交一张听课卡，听课卡可以随便填一些感受就行,无期末,Unknown,,
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,真正的“水”课，讲黄河历史及其周边的人文历史,每堂课有签到，但请假很“容易”，两个小作业，很轻松就能完成,论文,94,,
素质体育2,体育课,,李宜珊,雷,1,1,88,,
马克思主义基本原理,公共课,,谭兴林,给分很好,平时不签到，但是点名，点到没站起来算是缺勤，差不多三四节课轮一遍，答不上来没关系。平时没作业,闭卷考试,90,,
当代中国经济热点问题,通识选修课（公选课）,社会科学与现代科学,胡艺,上课很轻松，不点名，期末开卷，十道题选四道,无,开卷考试,96,,
病原生物学,专业课程,,刘昱,老师人很好，课堂氛围比较活跃，课上会用学习通，有时候会抽人回答问题，讲的内容有一点半专业半科普的感觉，但是没有电子版ppt，需要去打印店买复印的纸质版讲义,每节课会有线上quiz，每节课10道题基本都是单选，不会考很难的内容，都是很简单的问题，这些quiz一部分最后会原题出现在期末的选择题中。除此之外有一次大作业一次小作业，大作业是看电影回答问题，答案在电影中都能找到，小作业也是回答问题，基本在网上也都能搜到。然后还有一次分组pre，每组3-5个人，每个人都要求上台做ppt展示（ps.还有两节课请别的老师来讲，可能要在课后提交一份听课总结）,期末闭卷考，选择+问答题，选择题80%都是平时quiz里的题，问答题老师会给透几道题，其他的也基本都是课上讲的重点，期末需要背一背,Unknown,,
中国古典园林赏析,通识选修课（公选课）,艺术体验与审美欣赏,宋菊芳,中国古典园林的相关知识,三次考勤，老师上课提问回答三次即可,开卷考试,Unknown,,
IT创新与创业,通识选修课（公选课）,社会科学与现代科学,吴黎兵,很水，计算机相关内容，科普式的，可以不听课，听课回答问题有奖品,点名随缘，基本上一学期一两次，还会提前通知,商业策划书,96,,
民族传统体育文化赏析,通识选修课（公选课）,中华文化与世界文明,刘欣刚,主要讲各个名族的体育文化，课上会带大家去体验射箭，龙舟，舞龙,每次都考勤，平时有一次小组大作业，ppt讲演兵器,闭卷考试，但是会划重点背诵,90,,
操作系统,专业课程,,严飞,很一般 讲的也一般 给分也一般,点名两次,考试,Unknown,,
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美欣赏,王晔,老师上课很有意思，而且不管你干啥,会点名，平时没有作业,根据赛事内容写广告文案，或者平面设计、拍视频都可以,Unknown,,
考古学概论3,专业课程,,八位老师一起,八个老师各讲两节课，讲自己研究领域,没有考勤和平时作业,一次期中考，考前四位老师，一次期末考，考后四位老师，后期应该都是简答题八选五，很简单的，一小时答完,Unknown,,
会计学,专业课程,,田娟,特别特别好的老师，讲课比较清晰，但是会计自学比较多,一次pre，一次不计分的期中,期末占大头,92,,
现当代文学史,专业课程,,方志平,老师很好哦，讲的很不错，课堂也没有点名,一次期中作业，写论文,期末考试,Unknown,,
大学物理B,公共课,,王晓峰,很好超级棒！,正常,闭卷考试,Unknown,,
现代设计鉴赏,通识选修课（公选课）,艺术体验与审美欣赏,沈静,老师讲的很好,平时作业学习通上发布，很少考勤,论文,Unknown,,
高等数学A,公共课,,王艳,统一的,作业每次都有，考勤一学期一两次,考试,79,,
电影艺术与大众文化,通识选修课（公选课）,艺术体验与审美欣赏,王杰红,老师讲课内容很好,不考勤无作业,论文,85,,
数据结构,专业课程,,邓娟,事情少,每次签到会留额外作业,机试,Unknown,,
人体结构学,专业课程,,张泉,讲的不错,有考勤,机考,Unknown,,
高等数学,公共课,,康肖松,神中神！,平时作业要交，考勤没有,闭卷考试,Unknown,,
大英,公共课,,夏朝阳,老师人很好，要求少,无考勤,期末考试,90,,
精微素描,专业课程,,杨青,画精微素描，专业性强，老师人很好,两幅精微素描,画面评分,90,,
乒乓球,体育课,,王卫学,乒乓球教学，较容易,偶尔点名，无作业,完成正反手各三十下,Unknown,,
matlab,专业课程,,李爽,很实用，爽子姐神中神,每一节课都会有作业,开卷,Unknown,,
大学英语交际3,公共课,,童玲,老师很温柔，给分挺好,基本没有平时作业，每节课会签到,期末考试,Unknown,,
博物馆概论,专业课程,,李涛,比较有意思和简单，就是把老师上课讲ppt背下来，学期中就结课，一周两次,没有平时作业一两次点名,闭卷考试,Unknown,,
大学物理B,公共课,,王晓峰,老师讲得很好，事情很少，给分不错,不定时位置签到，作业量适中,闭卷考试,85,,
肿瘤生物学,专业课程,,老师人很好,肿瘤生物相关内容,只签到过一次，无平时作业,闭卷，但是有题库,88,,
健身气功,体育课,,陈文英,老师人很好，有趣又养生,随机，看老师心情,打易筋经,Unknown,,
常微分方程,专业课程,,罗壮初,老师只会念ppt，但是给分比较好，不能自学的慎重选择,无考勤，每周有作业，作业不少,考试，2024年开始是闭卷，但会提前告诉你每道题考什么,Unknown,,
黄河史,通识选修课（公选课）,中华文化与世界文明,梁莉,很水,两次小作业 纸质签到,论文节课,93,,
离散数学,专业课程,,胡新启,很简单,没签到作业可以不写,考试，但是很多原题,Unknown,,
中国哲学智慧,通识选修课（公选课）,中华文化与世界文明,刘沁,爽！,爽！,爽！,99,,
美国政府与政治,通识选修课（公选课）,科学精神与生命关怀,楼笛晴,ppt和考试都是英文，有难度,无，有一次上台发言,现场拿手机考试,82,,
篮球1,体育课,,殷涛,老师很会捞,可能点名,基本就一样,85,,
高数,公共课,,童欣,很好,每周都有作业,统一考试,90,,
中国数术文化,通识选修课（公选课）,中华文化与世界文明,晏昌贵,大概讲的是占星，风水，龟卜之类的历史内容,有时会点名，无平时作业,用春秋古筮法帮朋友占卦，写清楚起卦过程，查找资料解卦,Unknown,,
产业经济学,专业课程,,余景升,不点名内容少一个pre,两次作业,闭卷内容就两章,Unknown,,
颜色科学与感知,通识选修课（公选课）,艺术体验与审美欣赏,刘强,老师讲课结合自己的科研成果和日常生活经历，较为有趣,平时会有两三次考勤吧,论文结课,91,,
信息安全数学基础（信安数基,专业课程,,王后珍,老师讲的超好，推荐,不考勤，平时作业半学期交一次，作业不批改，老师保证总评成绩不会低于卷面成绩,考试,Unknown,,
大物,公共课,,郝中华,"老师讲课很好,给分也非常好",每个星期一次作业,统一考试,85,,
大学物理实验,公共课,,艾志伟,就是做物理实验,每节课交前一次的实验报告，每节课打考勤,当场做实验，并且交实验报告，平时的实验报告也会算成绩,91,,
高等数学c,公共课,,羿旭明,好,偶尔考勤，作业不多,闭卷考试,95,,
匹克球,体育课,,刘涛,很好玩,时常考勤,两个小考试加上长跑、仰卧起坐/俯卧撑,Unknown,,
电波传播,专业课程,,徐良,老师讲课认真,偶尔会点名，会发题库，从题库里布置作业，期末考试为题库中的原题,考试，但是是题库的原题,Unknown,,
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,每节课纸质签到，结课论文，课水分高,每节课纸质签到,论文,92,,
伟大抗疫精神,通识选修课（公选课）,科学精神与生命关怀,朱国伟,神中神,慕课,慕课考试,97,,
计算机网络与应用,专业课程,,王艳东,计算机网络五层结构,两次大作业，考勤很松,闭卷考试，填空加简答，基本全是课堂PPT练习题或者课本课后题原题，简单,Unknown,,
数据结构,专业课程,,何璐璐,老师人还不错，事少，给分正常，讲的不咋样,无考勤有课堂小测,机试,87,,
定向越野1,体育课,,张力,比较轻松,无,体测项目+百米定向,Unknown,,
创药学研究进展,专业课程,,一节课一位老师,药学院的课，每位老师讲了自己的研究领域和课题内容，印象里有结构生物学、药学等领域。小班教学，十来个人，有的老师比较水、有的老师很认真,偶尔会考勤，这个看不同老师的想法；没有平时作业,开卷，发一张试题和答题纸，大概10个简答题，带回去做，一周后交上去就好，字比较多但算是很轻松了,Unknown,,
离散数学b,专业课程,,张丽华,挺好的,扫脸签到，每周作业,闭卷考试,Unknown,,
武术2,体育课,,余涛,学一套棍术,几乎不考勤，无作业,打一套棍术，50m、立定跳远,94,,
信号与系统,专业课程,,黄春明,老师很好，讲得很细心,课前签到，作业不算多，会有几次小测，小测的题目与期末的相关性挺大,考试,86,,
微观经济学,专业课程,,逄金栋,老师讲得很好，人比较温柔，跟着老师来考试基本没问题。每一章会布置课后作业。,每一章会布置课后作业，课上提交,考试,96,,
大学物理B,公共课,,程莉,老师给分很不错，但是事情巨多，上课不能划水,不定期考勤，考勤形式也很随机，作业巨多,考试,86,,
网球1,体育课,,赵继斌,老师人很好，不卡绩,偶尔点名,网球基本动作,Unknown,,
走进极地,通识选修课（公选课）,科学精神与生命关怀,不固定，很多科考工作人员来当老师,内容挺有意思的，看个人感觉，考勤很水，给分很高,基本没有,课外论文,93,,
马原,公共课,,张萌,神中神！老师人美心善温柔，讲课也很好！,不考勤，授课组都一样,统一考试,92,,
黄河史,通识选修课（公选课）,科学精神与生命关怀,只有一位女老师,课堂氛围不错，老师人很好,考勤会有纸质签到，平时作业大概三次，但是很简单,论文结课,93,,
高等数学,公共课,,洪伟,挺好的,一学期两次点名,考试,Unknown,,
黄河史,通识选修课（公选课）,中华文化与世界文明,何莉,很水,查的不是很严,论文,93,,
普通物理三,专业课程,,郝中华,热学六章，只涉及气体分子，热力学基本定律上课有PPT，节奏慢容易听懂，考试也挺简单的，总之推荐,每次课签到，讲完一章后布置作业下节课收,试卷,Unknown,,
密码学,专业课程,,余荣威,无敌，这个老师,基本无,开卷考试,95,,
空间信息工程技术,专业课程,,孟小亮,适合外院同学当跨专,一半线上一半线下，没有平时作业,大作业，不是很难，时间很充裕,Unknown,,
概率论,公共课,,李姗娜,讲得特别好！很温柔很细致,无考勤,期末全校考,Unknown,,
走进电世界,专业课程,,李蕊,电运用的历史发展,最好一个PPT,开卷,78,,
遥感概论,专业课程,,罗斌,遥感的基本内容，概论性的东西，真不少老师人很好，给了一份复习资料，几乎都是考试重点,没有考勤，有实习，要交实习报告,闭卷考试,Unknown,,
世界桥梁,通识选修课（公选课）,艺术体验与审美欣赏,万臻,给分挺好的老师人很好，可以学到很多东西,有一次小组作业,写论文,90,,
数学分析,专业课程,,龚亚方,内容丰富 易于学习,作业适中,期末考试,Unknown,,
大学物理B,公共课,,郝中华,讲的特别好,每次都要学习通拍照签到，有时候点名,闭卷考,Unknown,,
数字测图与卫星导航,专业课程,,邢诚,课堂授课，穿插实习。如果要选这门课的话，首推邢老师，老师讲得很详细，平时也不会点人回答问题，作业相对其他老师也是较少的。,每次都考勤，会有章节作业，实习是按小组提交成果。,闭卷考试，考前突击就可。,97,,
色彩原理与应用,通识选修课（公选课）,艺术体验与审美欣赏,马桃林,讲色彩原理和在商品包装、服饰、家装等方面的应用。整体比较轻松，给分很好,课堂抽人点到，完成两篇小论文一篇大论文,大论文结课，结合专业知识或者关于课程改革的内容,96,,
德育原理,专业课程,,程凌,很好,基本没考勤 又一次但不计成绩 一次Pre,论文,Unknown,,
概率论与数理统计,公共课,,王冉,以一人之力让课程难度上升两个级别,平时有作业，需要上交，量不是很多,考试,Unknown,,
大学物理,公共课,,郭立平,老师讲得很细致，挺好的,留作业，但都是所有班统一的，经常会微信签到,闭卷笔试,Unknown,,
程序设计python,公共课,,张华,简单的python语法，老师特别耐心，适合零基础,每周会有平台上的作业 课前签到,机考,97,,
宏观经济学,专业课程,,魏珊,课比较难，但是老师人很好，幽默风趣,只点过一次名，基本没作业,一次期中和一次期末，海底捞,85,,
概率论,公共课,,童欣,好！！！,少,考试,Unknown,,
圣经与西方文学,专业课程,,鄢畅,基本就是讲解圣经和欣赏画作，圣经不难，全英文授课,基本上不考勤，平时就是会布置读圣经原文,闭卷考试。题型：10 question answer identify paintings 5-10 identify person：eg. who is Moses? Hegel? explain Symbol & signs Small Essay 2 hrs ,Unknown,,
概率论与数理统计A,公共课,,冯艳钦,老师讲得非常好非常细致，一定要好好听讲,老师布置的作业非常有代表性，对考试帮助很大，老师很少点名，但是每次都会说人怎么这么少，可能会生气然后点名,考试,Unknown,,
毛概,公共课,,余杰,一次小组作业,两次签到，慕课,期末考试,Unknown,,
中国精神导引,通识必修课（导引）,,周金华,老师人真的很好，内容准备很全面，每次上课都用心良苦，平时也会关注学生意愿。,平时没作业，无签到,一次pre+2000论文（主观）,Unknown,,
面向对象程序设计,专业课程,,桂浩,老师非常nice，期末海底捞，放心冲就完了,有签到，平时作业较少而且很简单,闭卷笔试,Unknown,,
高级语言程序设计A,专业课程,,李雪飞,老师上课水，全靠自觉,基本没有,机考,Unknown,,
计量经济学,专业课程,,许云,计量还是得认真学，但是老师会捞,有一次考勤，有期中,闭卷考试,90,,
地球之谜,通识选修课（公选课）,科学精神与生命关怀,申文斌,老师很好，平时很轻松，给分也很好,有几次纸质签到，没有平时作业,论文结课，可以提前写完在课堂上抄,92,,
莎士比亚戏剧导读,通识选修课（公选课）,艺术体验与审美欣赏,戴丹妮,讲经典莎剧,不定期签到，会提前通知，有时候有课堂提问,开卷考试加论文,Unknown,,
当代,专业课程,,孙元元,讲课很温柔,没有作业，只要老师随机签到的时候，来了老师就会给满,考试,Unknown,,
毛泽东思想和中国特色社会主义理论体系概论,公共课,,王道征,老师很年轻，讲课蛮认真有趣的，事很少，举手回答问题和认真听课都能加分,会点名，作业只有一此读书报告（包括课堂展示和纸质版报告）,考试,Unknown,,
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美欣赏,王晔,非常好。老师人特别好。,两次点名。平时作业无,交广告设计稿子或者拍片子,Unknown,,
行为健康,通识必修课（导引）,,王素青,挺无聊的,不点名 最后一节实践课,论文,96,,
素质体育,体育课,,林军,综合体育，必修,大一经常抽查考勤,统一，会给很多次机会直到考满分，会帮忙修改体测分（）,96,,
概率论与数理统计A,公共课,,王冉,“神人”,无考勤 作业一堆,闭卷考试 ,Unknown,,
